"","user","artist","track","rating","gender","age","profession","region","importanceOfMusic","ownArtistMusic","likeArtist"
"4801",1915,4,12,43,"1",23,"Employed 30+ hours a week","Midlands","1","0",36
"4802",1915,4,11,43,"1",23,"Employed 30+ hours a week","Midlands","1","0",36
"4817",1920,4,12,41,"0",65,"Retired from full-time employment (30+ hours per week)","North","1","0",48
"4818",1920,4,11,50,"0",65,"Retired from full-time employment (30+ hours per week)","North","1","0",48
"4823",1921,4,11,70,"1",50,"Employed 30+ hours a week","South","2","2",74
"4842",1926,1,5,76,"0",14,"Full-time student","Midlands","2","3",100
"4843",1926,1,4,95,"0",14,"Full-time student","Midlands","2","3",100
"4844",1926,3,9,69,"0",14,"Full-time student","Midlands","2","0",100
"4845",1926,3,10,97,"0",14,"Full-time student","Midlands","2","0",100
"4855",1928,4,11,71,"0",60,"Retired from self-employment","South","2","3",89
"4856",1928,4,12,69,"0",60,"Retired from self-employment","South","2","3",89
"4857",1929,1,6,30,"0",68,"Retired from full-time employment (30+ hours per week)","North","1","0",29
"4858",1929,1,4,40,"0",68,"Retired from full-time employment (30+ hours per week)","North","1","0",29
"4859",1929,4,12,51,"0",68,"Retired from full-time employment (30+ hours per week)","North","1","1",29
"4863",1930,4,11,8,"1",65,"Retired from self-employment","Midlands","1","0",9
"4872",1932,4,12,10,"1",65,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",61
"4880",1935,4,11,87,"1",74,"Retired from full-time employment (30+ hours per week)","North","1","2",65
"4893",1939,1,6,72,"1",73,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",30
"4894",1939,1,5,72,"1",73,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",30
"4895",1939,1,4,71,"1",73,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",30
"4905",1941,4,12,73,"1",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","2",70
"4906",1941,4,11,72,"1",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","2",70
"4913",1943,4,11,48,"0",74,"Full-time housewife / househusband","Midlands","1","0",50
"4927",1947,4,11,91,"1",71,"In unpaid employment (e.g. voluntary work)","South","1","1",70
"4934",1949,4,11,20,"1",20,"Full-time student","Midlands","2","0",38
"4938",1951,1,6,38,"0",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",29
"4939",1951,1,4,38,"0",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",29
"4940",1951,1,5,19,"0",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",29
"4941",1951,4,12,37,"0",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",50
"4942",1951,4,11,56,"0",68,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",50
"4943",1952,4,12,23,"1",13,"Full-time student","Midlands","1","0",33
"4949",1954,4,11,48,"1",24,"Employed 8-29 hours per week","North","2","0",32
"4950",1954,4,12,12,"1",24,"Employed 8-29 hours per week","North","2","0",32
"4955",1956,3,9,71,"0",15,"Full-time student","Midlands","2","2",68
"4968",1959,4,11,92,"1",67,"Retired from full-time employment (30+ hours per week)","North","1","2",93
"4970",1960,3,9,50,"1",55,"Employed 30+ hours a week","North","1","0",53
"4990",1967,1,6,51,"1",15,"Full-time student","Midlands","2","0",36
"4991",1967,1,5,51,"1",15,"Full-time student","Midlands","2","0",36
"4992",1967,3,9,12,"1",15,"Full-time student","Midlands","2","1",50
"4997",1968,4,11,74,"1",14,"Full-time student","North","2","1",67
"4998",1968,4,12,71,"1",14,"Full-time student","North","2","1",67
"5019",1974,4,12,34,"0",42,"Other","South","1","0",29
"5020",1974,4,11,34,"0",42,"Other","South","1","0",29
"5036",1978,3,10,46,"1",13,"Full-time student","Midlands","1","0",30
"5057",1982,4,11,51,"1",16,"Full-time student","Midlands","2","0",41
"5058",1982,4,12,51,"1",16,"Full-time student","Midlands","2","0",41
"5066",1985,1,6,9,"0",20,"Employed 30+ hours a week","Midlands","1","0",33
"5067",1985,1,5,10,"0",20,"Employed 30+ hours a week","Midlands","1","0",33
"5068",1985,4,11,27,"0",20,"Employed 30+ hours a week","Midlands","1","1",31
"5069",1985,4,12,38,"0",20,"Employed 30+ hours a week","Midlands","1","1",31
"5071",1986,4,11,40,"1",16,"Full-time student","North","2","0",5
"5072",1987,1,6,29,"0",15,"Full-time student","Midlands","1","0",32
"5073",1987,1,5,26,"0",15,"Full-time student","Midlands","1","0",32
"5074",1987,3,9,27,"0",15,"Full-time student","Midlands","1","0",30
"5075",1987,3,10,50,"0",15,"Full-time student","Midlands","1","0",30
"5112",1996,3,9,88,"1",47,"Employed 30+ hours a week","Midlands","2","1",70
"5113",1996,3,10,90,"1",47,"Employed 30+ hours a week","Midlands","2","1",70
"5134",2001,4,12,47,"0",21,"Employed 30+ hours a week","Midlands","1","0",9
"5137",2002,4,12,51,"1",14,"Full-time student","South","1","0",36
"5138",2002,4,11,52,"1",14,"Full-time student","South","1","0",36
"5144",2004,3,10,32,"1",24,"Employed 30+ hours a week","South","2","0",30
"5145",2004,3,9,51,"1",24,"Employed 30+ hours a week","South","2","0",30
"5146",2004,4,12,70,"1",24,"Employed 30+ hours a week","South","2","2",92
"5147",2004,4,11,41,"1",24,"Employed 30+ hours a week","South","2","2",92
"5155",2006,4,11,90,"0",56,"Retired from full-time employment (30+ hours per week)","North","1","3",94
"5156",2006,4,12,92,"0",56,"Retired from full-time employment (30+ hours per week)","North","1","3",94
"5158",2007,3,9,71,"0",38,"Employed 8-29 hours per week","North","1","1",71
"5159",2007,3,10,86,"0",38,"Employed 8-29 hours per week","North","1","1",71
"5173",2011,1,6,33,"1",14,"Full-time student","North","1","0",9
"5184",2014,4,11,49,"0",18,"Full-time student","Midlands","2","2",51
"5203",2020,1,4,11,"1",19,"Full-time student","Midlands","1","0",28
"5204",2020,4,11,17,"1",19,"Full-time student","Midlands","1","0",11
"5205",2020,4,12,45,"1",19,"Full-time student","Midlands","1","0",11
"5222",2023,4,12,47,"1",18,"Full-time student","Midlands","1","1",49
"5224",2024,4,12,41,"0",54,"Employed 30+ hours a week","Midlands","1","2",54
"5228",2026,1,4,18,"1",18,"Prefer not to state","Midlands","2","2",70
"5229",2026,1,5,34,"1",18,"Prefer not to state","Midlands","2","2",70
"5235",2028,1,5,10,"1",14,"Full-time student","South","1","0",5
"5236",2028,1,6,9,"1",14,"Full-time student","South","1","0",5
"5256",2032,4,12,48,"0",22,"Full-time housewife / househusband","North","1","0",31
"5257",2032,4,11,26,"0",22,"Full-time housewife / househusband","North","1","0",31
"5270",2035,4,11,72,"1",56,"Employed 30+ hours a week","South","1","3",59
"5281",2039,1,5,8,"0",24,"Employed 8-29 hours per week","Midlands","1","0",33
"5282",2039,1,4,18,"0",24,"Employed 8-29 hours per week","Midlands","1","0",33
"5291",2041,4,12,55,"1",20,"In unpaid employment (e.g. voluntary work)","Midlands","2","1",52
"5292",2041,4,11,58,"1",20,"In unpaid employment (e.g. voluntary work)","Midlands","2","1",52
"5309",2045,4,11,28,"1",18,"Full-time student","Midlands","1","1",30
"5310",2045,4,12,9,"1",18,"Full-time student","Midlands","1","1",30
"5312",2046,3,10,43,"1",13,"Full-time student","South","1","1",52
"5313",2046,4,11,56,"1",13,"Full-time student","South","1","1",52
"5335",2051,1,6,30,"1",15,"Other","Midlands","1","0",70
"5336",2051,2,8,11,"1",15,"Other","Midlands","1","2",65
"5340",2052,3,9,4,"1",20,"Full-time student","North","1","1",51
"5341",2052,3,10,16,"1",20,"Full-time student","North","1","1",51
"5351",2056,1,6,16,"1",13,"Employed 30+ hours a week","South","1","2",36
"5352",2056,1,5,10,"1",13,"Employed 30+ hours a week","South","1","2",36
"5353",2056,2,8,14,"1",13,"Employed 30+ hours a week","South","1","1",67
"5354",2057,1,5,47,"0",15,"Full-time student","Midlands","2","0",51
"5355",2057,1,6,47,"0",15,"Full-time student","Midlands","2","0",51
"5356",2057,2,8,49,"0",15,"Full-time student","Midlands","2","0",51
"5357",2057,2,7,50,"0",15,"Full-time student","Midlands","2","0",51
"5358",2057,5,13,50,"0",15,"Full-time student","Midlands","2","0",50
"5363",2059,3,9,68,"1",36,"Employed 30+ hours a week","South","2","1",70
"5364",2059,3,10,67,"1",36,"Employed 30+ hours a week","South","2","1",70
"5365",2059,4,11,92,"1",36,"Employed 30+ hours a week","South","2","3",93
"5366",2059,4,12,100,"1",36,"Employed 30+ hours a week","South","2","3",93
"5367",2060,1,4,6,"1",38,"Other","Midlands","1","0",3
"5368",2060,1,5,8,"1",38,"Other","Midlands","1","0",3
"5373",2061,4,12,36,"0",13,"Full-time housewife / househusband","South","1","0",29
"5377",2062,4,12,51,"1",63,"Retired from self-employment","Midlands","2","1",49
"5381",2064,1,4,49,"0",13,"Full-time student","South","2","0",10
"5382",2064,1,6,9,"0",13,"Full-time student","South","2","0",10
"5383",2064,1,5,5,"0",13,"Full-time student","South","2","0",10
"5384",2064,4,11,23,"0",13,"Full-time student","South","2","0",11
"5385",2064,4,12,12,"0",13,"Full-time student","South","2","0",11
"5386",2064,5,13,16,"0",13,"Full-time student","South","2","0",4
"5387",2065,1,5,3,"0",18,"Full-time student","Midlands","1","0",3
"5388",2065,1,6,3,"0",18,"Full-time student","Midlands","1","0",3
"5398",2068,1,6,41,"0",33,"Full-time housewife / househusband","Midlands","1","0",30
"5399",2068,1,4,39,"0",33,"Full-time housewife / househusband","Midlands","1","0",30
"5400",2068,4,11,92,"0",33,"Full-time housewife / househusband","Midlands","1","2",81
"5401",2068,4,12,93,"0",33,"Full-time housewife / househusband","Midlands","1","2",81
"5403",2069,1,5,30,"1",13,"Other","North","1","0",28
"5404",2069,3,10,48,"1",13,"Other","North","1","0",29
"5405",2069,4,12,47,"1",13,"Other","North","1","0",32
"5408",2070,3,10,73,"1",62,"Self-employed","Midlands","2","1",68
"5409",2070,4,12,89,"1",62,"Self-employed","Midlands","2","3",84
"5410",2070,4,11,90,"1",62,"Self-employed","Midlands","2","3",84
"5430",2074,4,12,44,"0",42,"Employed 8-29 hours per week","Midlands","1","0",51
"5431",2074,4,11,43,"0",42,"Employed 8-29 hours per week","Midlands","1","0",51
"5432",2075,1,6,36,"0",13,"Full-time student","Midlands","1","0",30
"5433",2075,1,5,25,"0",13,"Full-time student","Midlands","1","0",30
"5445",2078,1,6,52,"0",54,"Employed 30+ hours a week","South","1","0",13
"5446",2078,3,9,44,"0",54,"Employed 30+ hours a week","South","1","0",33
"5447",2078,3,10,43,"0",54,"Employed 30+ hours a week","South","1","0",33
"5451",2079,4,11,89,"0",40,"Employed 30+ hours a week","Midlands","1","1",31
"5452",2079,4,12,75,"0",40,"Employed 30+ hours a week","Midlands","1","1",31
"5460",2081,3,9,92,"1",15,"Full-time student","Midlands","2","2",92
"5461",2081,4,11,88,"1",15,"Full-time student","Midlands","2","2",95
"5462",2081,4,12,86,"1",15,"Full-time student","Midlands","2","2",95
"5465",2082,4,12,30,"1",55,"Employed 30+ hours a week","North","1","1",74
"5481",2087,3,9,22,"0",28,"Other","Midlands","2","0",26
"5482",2087,3,10,35,"0",28,"Other","Midlands","2","0",26
"5487",2088,4,12,11,"0",17,"Employed 30+ hours a week","Midlands","2","0",29
"5488",2088,4,11,7,"0",17,"Employed 30+ hours a week","Midlands","2","0",29
"5492",2090,1,5,50,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",31
"5493",2090,1,4,56,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",31
"5494",2090,3,9,41,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",30
"5495",2090,3,10,48,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",30
"5500",2091,3,10,51,"1",52,"Temporarily unemployed","North","1","0",32
"5501",2091,3,9,54,"1",52,"Temporarily unemployed","North","1","0",32
"5505",2092,4,12,41,"1",26,"Employed 30+ hours a week","South","2","2",66
"5506",2092,4,11,49,"1",26,"Employed 30+ hours a week","South","2","2",66
"5507",2093,1,6,7,"1",15,"Temporarily unemployed","South","1","0",29
"5510",2093,4,11,10,"1",15,"Temporarily unemployed","South","1","0",9
"5511",2093,4,12,11,"1",15,"Temporarily unemployed","South","1","0",9
"5512",2094,1,6,9,"1",15,"Full-time student","Midlands","1","0",32
"5513",2094,2,7,42,"1",15,"Full-time student","Midlands","1","0",42
"5514",2094,2,8,30,"1",15,"Full-time student","Midlands","1","0",42
"5523",2096,4,12,69,"1",63,"Self-employed","Midlands","1","1",68
"5524",2096,4,11,68,"1",63,"Self-employed","Midlands","1","1",68
"5534",2100,3,10,32,"0",14,"Full-time student","North","2","1",53
"5536",2101,1,4,70,"1",61,"Retired from full-time employment (30+ hours per week)","North","2","0",30
"5539",2101,4,11,69,"1",61,"Retired from full-time employment (30+ hours per week)","North","2","1",30
"5540",2101,4,12,9,"1",61,"Retired from full-time employment (30+ hours per week)","North","2","1",30
"5548",2103,4,11,69,"1",56,"Employed 30+ hours a week","Midlands","1","3",69
"5561",2106,4,11,51,"1",62,"Retired from full-time employment (30+ hours per week)","North","2","2",70
"5562",2106,4,12,50,"1",62,"Retired from full-time employment (30+ hours per week)","North","2","2",70
"5569",2109,1,4,50,"1",58,"Employed 30+ hours a week","South","2","0",31
"5570",2109,1,6,11,"1",58,"Employed 30+ hours a week","South","2","0",31
"5571",2109,1,5,50,"1",58,"Employed 30+ hours a week","South","2","0",31
"5574",2109,4,12,88,"1",58,"Employed 30+ hours a week","South","2","2",69
"5578",2110,4,11,51,"0",24,"Employed 30+ hours a week","North","1","0",48
"5591",2113,4,12,92,"1",38,"Temporarily unemployed","North","1","2",77
"5592",2113,4,11,89,"1",38,"Temporarily unemployed","North","1","2",77
"5594",2114,4,12,49,"0",61,"Full-time housewife / househusband","Midlands","1","0",68
"5603",2116,4,11,91,"1",22,"Temporarily unemployed","South","1","0",49
"5604",2116,4,12,92,"1",22,"Temporarily unemployed","South","1","0",49
"5605",2117,1,5,48,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",31
"5606",2117,1,6,48,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",31
"5608",2117,4,11,88,"1",64,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",72
"5613",2118,4,11,89,"1",60,"Employed 30+ hours a week","Midlands","1","3",70
"5614",2118,4,12,90,"1",60,"Employed 30+ hours a week","Midlands","1","3",70
"5630",2121,3,9,10,"1",46,"Employed 8-29 hours per week","Midlands","2","0",32
"5631",2121,3,10,29,"1",46,"Employed 8-29 hours per week","Midlands","2","0",32
"5640",2124,2,7,30,"0",39,"Employed 8-29 hours per week","South","1","0",30
"5641",2124,2,8,28,"0",39,"Employed 8-29 hours per week","South","1","0",30
"5642",2124,3,9,73,"0",39,"Employed 8-29 hours per week","South","1","1",33
"5643",2124,3,10,72,"0",39,"Employed 8-29 hours per week","South","1","1",33
"5661",2128,3,9,29,"1",42,"Self-employed","South","1","1",51
"5673",2132,1,5,10,"1",35,"Employed 30+ hours a week","South","1","0",0
"5688",2136,1,4,60,"0",50,"Retired from full-time employment (30+ hours per week)","South","1","0",8
"5689",2136,1,6,51,"0",50,"Retired from full-time employment (30+ hours per week)","South","1","0",8
"5695",2137,3,9,51,"0",45,"Employed 8-29 hours per week","Midlands","2","0",43
"5706",2140,3,9,46,"0",24,"Employed 30+ hours a week","North","2","2",70
"5711",2141,3,10,74,"1",23,"Other","Midlands","1","0",57
"5712",2141,3,9,9,"1",23,"Other","Midlands","1","0",57
"5735",2148,1,5,51,"0",61,"Self-employed","South","2","0",30
"5736",2148,1,4,71,"0",61,"Self-employed","South","2","0",30
"5737",2148,1,6,52,"0",61,"Self-employed","South","2","0",30
"5752",2152,1,5,14,"0",14,"Full-time student","South","1","0",27
"5753",2152,1,6,26,"0",14,"Full-time student","South","1","0",27
"5754",2152,1,4,46,"0",14,"Full-time student","South","1","0",27
"5756",2153,1,6,12,"0",19,"Employed 8-29 hours per week","Midlands","2","1",79
"5757",2153,1,5,46,"0",19,"Employed 8-29 hours per week","Midlands","2","1",79
"5758",2153,2,7,4,"0",19,"Employed 8-29 hours per week","Midlands","2","1",72
"5759",2154,1,5,77,"0",15,"Full-time student","Midlands","1","0",4
"5760",2154,1,6,42,"0",15,"Full-time student","Midlands","1","0",4
"5761",2154,1,4,44,"0",15,"Full-time student","Midlands","1","0",4
"5767",2156,1,6,28,"1",15,"Full-time student","North","2","0",67
"5768",2156,1,4,31,"1",15,"Full-time student","North","2","0",67
"5769",2156,1,5,32,"1",15,"Full-time student","North","2","0",67
"5770",2156,2,7,88,"1",15,"Full-time student","North","2","0",38
"5771",2156,2,8,51,"1",15,"Full-time student","North","2","0",38
"5772",2156,5,13,10,"1",15,"Full-time student","North","2","1",52
"5776",2158,1,4,11,"1",62,"Retired from full-time employment (30+ hours per week)","North","2","0",6
"5777",2158,2,7,31,"1",62,"Retired from full-time employment (30+ hours per week)","North","2","1",48
"5778",2159,1,6,32,"1",47,"Employed 30+ hours a week","Midlands","1","0",27
"5779",2159,1,5,32,"1",47,"Employed 30+ hours a week","Midlands","1","0",27
"5783",2160,4,12,43,"1",61,"Retired from full-time employment (30+ hours per week)","South","2","1",30
"5786",2161,4,12,92,"1",61,"Retired from full-time employment (30+ hours per week)","Midlands","1","2",96
"5790",2162,4,11,45,"0",39,"Employed 30+ hours a week","South","1","0",31
"5791",2162,4,12,31,"0",39,"Employed 30+ hours a week","South","1","0",31
"5793",2163,4,12,81,"1",49,"Temporarily unemployed","North","2","1",60
"5794",2163,4,11,80,"1",49,"Temporarily unemployed","North","2","1",60
"5801",2165,4,11,39,"0",30,"Full-time housewife / househusband","South","1","0",48
"5802",2165,4,12,36,"0",30,"Full-time housewife / househusband","South","1","0",48
"5805",2167,1,5,3,"1",51,"Employed 30+ hours a week","South","2","0",9
"5806",2167,1,6,5,"1",51,"Employed 30+ hours a week","South","2","0",9
"5807",2167,3,9,96,"1",51,"Employed 30+ hours a week","South","2","2",69
"5808",2167,3,10,89,"1",51,"Employed 30+ hours a week","South","2","2",69
"5815",2169,4,12,30,"1",40,"Self-employed","North","2","1",48
"5823",2172,4,11,9,"1",21,"Full-time student","South","1","0",20
"5833",2175,4,12,77,"0",24,"In unpaid employment (e.g. voluntary work)","Midlands","1","1",71
"5834",2175,4,11,86,"0",24,"In unpaid employment (e.g. voluntary work)","Midlands","1","1",71
"5838",2176,4,12,46,"1",14,"Full-time student","North","1","0",29
"5844",2179,1,5,39,"1",63,"Retired from full-time employment (30+ hours per week)","North","1","0",29
"5845",2179,4,12,62,"1",63,"Retired from full-time employment (30+ hours per week)","North","1","0",50
"5846",2179,4,11,63,"1",63,"Retired from full-time employment (30+ hours per week)","North","1","0",50
"5848",2180,1,5,10,"0",58,"Other","Midlands","1","0",6
"5849",2180,1,4,9,"0",58,"Other","Midlands","1","0",6
"5850",2180,4,12,28,"0",58,"Other","Midlands","1","0",45
"5854",2181,4,11,66,"0",46,"Self-employed","Midlands","1","0",49
"5855",2181,4,12,36,"0",46,"Self-employed","Midlands","1","0",49
"5858",2182,3,9,9,"1",52,"Employed 30+ hours a week","Midlands","2","0",51
"5859",2182,4,12,51,"1",52,"Employed 30+ hours a week","Midlands","2","0",29
"5871",2185,4,11,71,"1",23,"Employed 30+ hours a week","Midlands","1","1",51
"5875",2186,5,13,30,"1",13,"Full-time student","North","2","0",28
"5883",2189,4,11,75,"1",61,"Retired from full-time employment (30+ hours per week)","North","2","1",49
"5888",2190,4,11,88,"1",50,"In unpaid employment (e.g. voluntary work)","North","2","3",87
"5892",2191,3,9,11,"0",29,"Employed part-time less than 8 hours per week","South","1","0",51
"5899",2192,4,12,68,"1",60,"Retired from full-time employment (30+ hours per week)","Midlands","1","2",70
"5902",2193,3,10,42,"0",23,"Employed 30+ hours a week","South","2","1",51
"5903",2193,4,12,74,"0",23,"Employed 30+ hours a week","South","2","2",70
"5906",2194,3,9,70,"0",45,"Employed 8-29 hours per week","North","1","1",49
"5907",2194,3,10,91,"0",45,"Employed 8-29 hours per week","North","1","1",49
"5908",2194,4,11,49,"0",45,"Employed 8-29 hours per week","North","1","1",31
"5916",2196,3,9,42,"1",29,"Employed 30+ hours a week","Midlands","1","1",49
"5917",2196,3,10,88,"1",29,"Employed 30+ hours a week","Midlands","1","1",49
"5918",2196,4,12,10,"1",29,"Employed 30+ hours a week","Midlands","1","0",47
